"x"
"MEEM",0.210511388552072
"Atividade.Fisica.Total",0.00212621888820547
"Tempo.Sentado",0.00503074948851181
"GDS",0.347652951799483
"FES",0.0912463215405962
"MAN",0.0953997814077886
"Fraqueza.Muscular",0.0896126856198468
"LAWTON",0.302159061427451
"KATZ",1.00507115348603
"CAAVD",0.322276107691762
"TUG",0.00933884798215509
"CAMINHADA",0.182941742081041
"MOS",1.04604879226427
"Circunferencia.14",0.175905566493637
"X15",0.103833314393755
"X16",0.0533747035292581
"X17",0.0105059839692526
"BERG",0.0832755902963589
"IDADE",0.132081955370004
"RELOGIO",1.44446440671866
"QUEDAS",0.541405588471545
"FINDRISC",0.26394374980899
"SCORED",0.983407202153219
